datetime,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,hour,dayofweek,month,hour_sin,hour_cos,pm2_5_lag_1
2023-11-23 00:00:00,73.8,42.7,442.0,10.0,8.0,92.0,0,3,11,0.0,1.0,46.6
2023-11-23 01:00:00,70.8,41.2,658.0,27.4,8.7,71.0,1,3,11,0.25881904510252074,0.9659258262890683,42.7
2023-11-23 02:00:00,72.2,43.2,948.0,50.6,9.8,43.0,2,3,11,0.49999999999999994,0.8660254037844387,41.2
2023-11-23 03:00:00,80.6,49.6,1105.0,62.9,11.7,33.0,3,3,11,0.7071067811865475,0.7071067811865476,43.2
2023-11-23 04:00:00,78.7,47.6,996.0,53.6,14.7,56.0,4,3,11,0.8660254037844386,0.5000000000000001,49.6
2023-11-23 05:00:00,78.2,43.3,754.0,33.4,18.5,96.0,5,3,11,0.9659258262890683,0.25881904510252074,47.6
2023-11-23 06:00:00,82.4,39.6,566.0,17.5,22.3,132.0,6,3,11,1.0,6.123233995736766e-17,43.3
2023-11-23 07:00:00,88.5,39.9,511.0,12.0,26.3,159.0,7,3,11,0.9659258262890683,-0.25881904510252063,39.6
2023-11-23 08:00:00,94.1,41.6,510.0,10.8,30.3,183.0,8,3,11,0.8660254037844387,-0.4999999999999998,39.9
2023-11-23 09:00:00,99.9,43.3,519.0,11.1,33.2,198.0,9,3,11,0.7071067811865476,-0.7071067811865475,41.6
2023-11-23 10:00:00,103.8,44.0,518.0,11.9,34.8,204.0,10,3,11,0.49999999999999994,-0.8660254037844387,43.3
2023-11-23 11:00:00,105.2,44.4,525.0,14.2,35.2,202.0,11,3,11,0.258819045102521,-0.9659258262890682,44.0
2023-11-23 12:00:00,108.0,46.9,574.0,19.2,38.4,195.0,12,3,11,1.2246467991473532e-16,-1.0,44.4
2023-11-23 13:00:00,104.1,47.4,662.0,28.4,34.2,160.0,13,3,11,-0.2588190451025208,-0.9659258262890683,46.9
2023-11-23 14:00:00,98.3,48.9,785.0,41.3,28.3,112.0,14,3,11,-0.4999999999999997,-0.8660254037844388,47.4
2023-11-23 15:00:00,91.5,47.5,880.0,51.8,23.4,73.0,15,3,11,-0.7071067811865471,-0.7071067811865479,48.9
2023-11-23 16:00:00,87.3,46.0,925.0,58.3,20.5,53.0,16,3,11,-0.8660254037844384,-0.5000000000000004,47.5
2023-11-23 17:00:00,86.1,45.9,943.0,62.5,18.5,42.0,17,3,11,-0.9659258262890683,-0.25881904510252063,46.0
2023-11-23 18:00:00,87.3,46.7,939.0,63.7,16.8,35.0,18,3,11,-1.0,-1.8369701987210297e-16,45.9
2023-11-23 19:00:00,87.3,46.6,905.0,60.5,15.3,33.0,19,3,11,-0.9659258262890684,0.2588190451025203,46.7
2023-11-23 20:00:00,85.0,44.9,849.0,54.3,14.2,35.0,20,3,11,-0.8660254037844386,0.5000000000000001,46.6
2023-11-23 21:00:00,81.7,43.3,807.0,48.3,13.4,36.0,21,3,11,-0.7071067811865477,0.7071067811865474,44.9
2023-11-23 22:00:00,85.7,47.8,784.0,42.6,12.5,31.0,22,3,11,-0.5000000000000004,0.8660254037844384,43.3
2023-11-23 23:00:00,89.2,52.9,775.0,37.1,11.8,24.0,23,3,11,-0.25881904510252157,0.9659258262890681,47.8
2023-11-24 00:00:00,78.9,42.5,626.0,26.2,8.9,38.0,0,4,11,0.0,1.0,52.9
2023-11-24 01:00:00,81.7,47.5,833.0,34.2,10.6,28.0,1,4,11,0.25881904510252074,0.9659258262890683,42.5
2023-11-24 02:00:00,89.9,52.0,1108.0,44.6,13.1,17.0,2,4,11,0.49999999999999994,0.8660254037844387,47.5
2023-11-24 03:00:00,99.2,54.9,1230.0,48.7,17.2,19.0,3,4,11,0.7071067811865475,0.7071067811865476,52.0
2023-11-24 04:00:00,99.9,49.9,1050.0,40.3,24.9,49.0,4,4,11,0.8660254037844386,0.5000000000000001,54.9
2023-11-24 05:00:00,96.9,37.6,717.0,25.5,34.1,92.0,5,4,11,0.9659258262890683,0.25881904510252074,49.9
2023-11-24 06:00:00,91.0,35.7,463.0,13.7,39.0,127.0,6,4,11,1.0,6.123233995736766e-17,37.6
2023-11-24 07:00:00,78.7,36.6,389.0,8.5,35.8,144.0,7,4,11,0.9659258262890683,-0.25881904510252063,35.7
2023-11-24 08:00:00,69.6,35.4,393.0,6.3,28.3,152.0,8,4,11,0.8660254037844387,-0.4999999999999998,36.6
2023-11-24 09:00:00,63.1,33.2,408.0,5.5,22.4,156.0,9,4,11,0.7071067811865476,-0.7071067811865475,35.4
2023-11-24 10:00:00,58.1,31.3,406.0,5.8,20.3,156.0,10,4,11,0.49999999999999994,-0.8660254037844387,33.2
2023-11-24 11:00:00,56.6,31.4,414.0,7.6,19.8,152.0,11,4,11,0.258819045102521,-0.9659258262890682,31.3
2023-11-24 12:00:00,65.4,37.8,458.0,10.2,19.6,143.0,12,4,11,1.2246467991473532e-16,-1.0,31.4
2023-11-24 13:00:00,71.2,43.9,525.0,14.1,19.3,130.0,13,4,11,-0.2588190451025208,-0.9659258262890683,37.8
2023-11-24 14:00:00,76.4,48.4,618.0,19.3,18.9,111.0,14,4,11,-0.4999999999999997,-0.8660254037844388,43.9
2023-11-24 15:00:00,84.3,54.2,696.0,22.3,18.5,98.0,15,4,11,-0.7071067811865471,-0.7071067811865479,48.4
2023-11-24 16:00:00,94.8,61.7,748.0,21.2,18.0,93.0,16,4,11,-0.8660254037844384,-0.5000000000000004,54.2
2023-11-24 17:00:00,103.6,68.0,784.0,17.9,17.5,94.0,17,4,11,-0.9659258262890683,-0.25881904510252063,61.7
2023-11-24 18:00:00,107.8,71.2,795.0,14.5,17.0,96.0,18,4,11,-1.0,-1.8369701987210297e-16,68.0
2023-11-24 19:00:00,107.6,71.2,767.0,11.3,16.6,101.0,19,4,11,-0.9659258262890684,0.2588190451025203,71.2
